	title	artist	album	likeStatus	duration	videoId	albumId	artistId
1	Fiso Place	Yorgui Loeffler	For Magnio	LIKE	2:34	_Su6P3jSR1k	MPREb_jFMwzy2iBpK	UCuXVzLChJUQ1cOjDwsAsH1w
58	I'm in the Mood for Love	Tommy Dorsey & His Orchestra	The 20 Best Collection	LIKE	3:24	Gt9n3Py7Tn4	MPREb_ccB1I1M6tVY	UCxDQrM2JMfe1aVujAnaNlbw
19	Django, la périphérie des zones (Terrain vague)	Tchavolo Schmitt Quartet	Mélancolies d'un soir	LIKE	5:59	8AtYAxFxhrA	MPREb_qWcsnqvlZaU	UCCv19lueIu_17rGP8hif1xA
13	"Bistro Fada (from the Motion Picture ""Midnight in Paris"")"	Stephane Wrembel	Bistro Fada	LIKE	3:03	SWLJXnmzIDo	MPREb_lxAprGAo2vz	UC-w2SkeqrhdlxekfF9AKX3g
31	Le Poinconneur des Lilas	Serge Gainsbourg	Les Chansons de Gainsbarre	LIKE	2:30	KBX0bK72iJw	MPREb_Y7Upk4BFb16	UCNzSA-g1Lwoxas3xCEzXBsw
30	Armando's Rumba (Instrumental)	Rosenberg Trio	Gipsy Summer	LIKE	4:01	QrrsrLi92hA	MPREb_GG5lZrBP8Fz	UCvdGvjGt_NARuiXXI_ge5rg
54	For Sephora (Instrumental)	Rosenberg Trio	Gipsy Summer	LIKE	4:26	Qa66SseoLgE	MPREb_GG5lZrBP8Fz	UCvdGvjGt_NARuiXXI_ge5rg
3	Fill in Guitar (feat. Yayo Reinhardt, Fanto Reinhardt & Pascal Berne)	Romane	Acoustic Quartet (Intégrale Romane, vol. 7)	LIKE	3:10	D36kPmn-Rcs	MPREb_g60uPdvC17X	UCPrlkPZfsIoN6QG-jDRYQkQ
15	Les Yeux Noirs (Dark Eyes)	Pomplamoose	Les Yeux Noirs (Dark Eyes)	LIKE	2:49	aF3nNI47aO0	MPREb_B1T4JJWA84S	UCGE5jwLIAvr8W-U4dntEuVw
16	Those Days	Oporto	Those Days	LIKE	3:25	lr1RDzga3Pk	MPREb_4TrnWtwGMhu	UCGggJGFa5lIg44Cd3Tgny3Q
6	Bucarest	Opa Tsupa	Trois Francs Six Sous	LIKE	4:15	yG2gjRZPTC4	MPREb_dlN7QWvGGry	UCRGwVNhuaptW8dQcO_AKa0w
8	Cesar Swing	Moreno	Yochka, Musicien Manouche d'aujourd'hui	LIKE	4:23	9rQT_wdBa-o	MPREb_PhB90q4YI7C	UCNwFx1YrbB60XBGSAr9ZoIg
37	Whistled Melody	Maurizio Caldura Sextet	Murrina latina	LIKE	5:22	49Be3Sbhyqk	MPREb_6x9sCl16PmA	UCX6lrCZQ_USoypNjIWRk2Og
32	Montagne Sainte Genevieve	Matelo Ferret	Tziganskaia and Other Rare Recordings	LIKE	2:01	l0cI4SRhkOE	MPREb_QAoeN8nsZBv	UC4coXPIuLmx9H3XyeVxXcEg
43	On The Sunny Side Of The Street	Louis Armstrong	The Best Of The Decca Years Volume One: The Singer	LIKE	5:51	Sz6fMGpe37k	MPREb_oJfvfzQ7L6d	UCCDaSui4C9VFMpeRlKEOHDA
49	Exactly Like You	Louis Armstrong	When You'Re Smiling	LIKE	4:08	TRe0aDx5qK4	MPREb_x3Hq9eaEiFh	UCCDaSui4C9VFMpeRlKEOHDA
5	Katz out the Bag (feat. Giacomo Smith)	London Django Collective	Robin Katz, Vol. 2	LIKE	5:58	LHdHw21wj_c	MPREb_1n3iMdQQ2Nh	UCSZCtiL1ecOPQc0S8_mYU0A
23	Blue Skies	Les Doigts de l'Homme	1910 (Jazz manouche)	LIKE	4:40	L3MaltgB-eA	MPREb_0VZxhSTRhRo	UC69v-d-y8WT5C4x6TPv4I-Q
55	Minor Swing	Les Doigts de l'Homme	1910 (Jazz manouche)	LIKE	3:25	_TbixDqu2_o	MPREb_0VZxhSTRhRo	UC69v-d-y8WT5C4x6TPv4I-Q
9	Djangology	Koen De Cauter, Fapy Lafertin & Friends	Django!! a Tribute	LIKE	2:38	fy0kTFw6vNk	MPREb_2U8ZwV60h16	UCuIWquTFIbIADZEmjRNgbJQ
12	All Of Me (feat. Gonzalo Bergara)	Josh Turner	All Of Me (Feat. Gonzalo Bergara)	LIKE	3:35	9nDTuBfgp-0	MPREb_fAq4iXhC7XU	UCp4BYoXAIfWTo4q_PGhY57A
2	Bossa dorado	Joscho Stephan	Acoustic Live	LIKE	4:16	G-WTIVCOMRc	MPREb_tCrJaK3PBJr	UC2TLz5u_a8mhLix3narHN0A
56	Black Orpheus (feat. Biréli Lagrène)	Joscho Stephan	Guitar Heroes	LIKE	4:55	z8h1jLZsgIU	MPREb_QvG93T38pU3	UC2TLz5u_a8mhLix3narHN0A
63	Cavalerie	Joe Pass	For Django	LIKE	4:24	QBRAeufPApk	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
64	For Django	Joe Pass	For Django	LIKE	2:53	p3Fmjo4341M	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
68	Nuages	Joe Pass	For Django	LIKE	2:33	gVT__uOh4Rw	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
70	Rosetta	Joe Pass	For Django	LIKE	3:06	-gbMvEoYxwg	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
73	Django's Castle (Manoir De Mes Reves)	Joe Pass	For Django	LIKE	3:47	RU9w0JahzA8	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
76	Django	Joe Pass	For Django	LIKE	3:21	GT8N9i87p6s	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
77	Insensiblement	Joe Pass	For Django	LIKE	3:12	gFw9W9S4oEY	MPREb_qNbX0KXxsji	UCUfeynRCKYDZookRWnEPfIQ
