	title	artist	album	likeStatus	duration	videoId	albumId	artistId
134	MY IMAGINATION 상상	Yaeji	WHAT WE DREW 우리가 그려왔던	LIKE	2:21	LIjwxOZUq-M	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
135	WHAT WE DREW 우리가 그려왔던	Yaeji	WHAT WE DREW 우리가 그려왔던	LIKE	3:50	TWDLFZcGSTg	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
137	WHEN I GROW UP	Yaeji	WHAT WE DREW 우리가 그려왔던	LIKE	2:43	a_H3oDhp-rw	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
146	4 American Dollars	U.S. Girls	Heavy Light	LIKE	5:43	6f4VTtox60k	MPREb_9TBeUx4NEeI	UCCd5eooP2h6ZN7gJZ4XxOHw
610	Nice & Shiny	Shlohmo	Heaven Inc. EP	LIKE	4:53	ZD0YbqGG6Ms	MPREb_bK3dJtpV8oY	UCnCEHQJ4sNkIkkqsPp9u-Ag
0	Simulation	Róisín Murphy	Róisín Machine	LIKE	8:30	tcIdnZEW3WA	MPREb_j4XVTKIxw3n	UCZVWrfgTuJz63IrozA4TiIw
6	Murphy's Law	Róisín Murphy	Róisín Machine	LIKE	6:22	y9m7QIAGf0Y	MPREb_j4XVTKIxw3n	UCZVWrfgTuJz63IrozA4TiIw
94	Day Without End	Protomartyr	Ultimate Success Today	LIKE	3:17	hE00MtUoDrA	MPREb_2NPweQxsuIN	UCb0wN1RCsCuyrSRgGqG_1aQ
95	Processed By The Boys	Protomartyr	Ultimate Success Today	LIKE	5:06	3d7Q9mhlfsI	MPREb_2NPweQxsuIN	UCb0wN1RCsCuyrSRgGqG_1aQ
97	The Aphorist	Protomartyr	Ultimate Success Today	LIKE	3:44	6wn4dOcxIzI	MPREb_2NPweQxsuIN	UCb0wN1RCsCuyrSRgGqG_1aQ
101	Modern Business Hymns	Protomartyr	Ultimate Success Today	LIKE	4:15	-VZCCxmCK6I	MPREb_2NPweQxsuIN	UCb0wN1RCsCuyrSRgGqG_1aQ
102	Bridge & Crown	Protomartyr	Ultimate Success Today	LIKE	4:23	vuWaBzlqHv8	MPREb_2NPweQxsuIN	UCb0wN1RCsCuyrSRgGqG_1aQ
103	Worm In Heaven	Protomartyr	Ultimate Success Today	LIKE	4:31	9Pg6DN9n5_A	MPREb_2NPweQxsuIN	UCb0wN1RCsCuyrSRgGqG_1aQ
253	Vanish	Nicolas Jaar	Cenizas	LIKE	3:12	YUCpRM6sikc	MPREb_qDttvVtEFte	UChW6_xMkaHkjBmQgIdiFaBw
255	Cenizas	Nicolas Jaar	Cenizas	LIKE	4:40	NWJ3kg6yNfo	MPREb_qDttvVtEFte	UChW6_xMkaHkjBmQgIdiFaBw
261	Hello, Chain	Nicolas Jaar	Cenizas	LIKE	5:27	0mTo0FTe-94	MPREb_qDttvVtEFte	UChW6_xMkaHkjBmQgIdiFaBw
396	Telallás	Nicolas Jaar	Telas	LIKE	12:56	XCWc2CUjMfM	MPREb_6FKRTxpNZAz	UChW6_xMkaHkjBmQgIdiFaBw
315	Feel You	My Morning Jacket	The Waterfall II	LIKE	6:14	rAdPj9ERD4U	MPREb_oP8MIa79ym6	UCFxLZ526P3vA1zQX0S-Kr5w
123	Forever (feat. Lil Wayne)	Lil Baby	My Turn	LIKE	3:22	f-ZqPPl5KBs	MPREb_LFXVnNQWjBd	UC_z9AthnCGSAk_tZf-KqoFA
171	Cellular	King Krule	Man Alive!	LIKE	3:00	_f381aNjy6Y	MPREb_zn3U2QRQ3xr	UC0_b4gQldkc4WbPeZigWnJQ
173	Stoned Again	King Krule	Man Alive!	LIKE	3:26	bXkNr4YF0vQ	MPREb_zn3U2QRQ3xr	UC0_b4gQldkc4WbPeZigWnJQ
174	Comet Face	King Krule	Man Alive!	LIKE	3:14	k-lg3v4HtBA	MPREb_zn3U2QRQ3xr	UC0_b4gQldkc4WbPeZigWnJQ
177	Alone, Omen 3	King Krule	Man Alive!	LIKE	2:48	b1ppSKHebmE	MPREb_zn3U2QRQ3xr	UC0_b4gQldkc4WbPeZigWnJQ
523	Tequila Shots	Kid Cudi	Man On The Moon III: The Chosen	LIKE	3:14	rc5_UTxvnZQ	MPREb_eDwozSONkwo	UCo2-dPLJcpbZK84FIt0vD-w
525	She Knows This	Kid Cudi	Man On The Moon III: The Chosen	LIKE	3:37	tP2S80uZERg	MPREb_eDwozSONkwo	UCo2-dPLJcpbZK84FIt0vD-w
531	Sad People	Kid Cudi	Man On The Moon III: The Chosen	LIKE	2:57	7Wsin5LH5sM	MPREb_eDwozSONkwo	UCo2-dPLJcpbZK84FIt0vD-w
532	Elsie's Baby Boy (flashback)	Kid Cudi	Man On The Moon III: The Chosen	LIKE	3:40	0lwkU7G0V_8	MPREb_eDwozSONkwo	UCo2-dPLJcpbZK84FIt0vD-w
220	Valley	Kevin Morby	Sundowner	LIKE	4:05	kdiusXx9nmY	MPREb_MdUBFfTHVWD	UC5f6zyIPpGOWL0_ZAcwSBqA
274	Hold On (feat. Lauren Faith)	Kamaal Williams	Wu Hen	LIKE	3:21	Sh5fdI-N-jo	MPREb_hDd6GDqUOAd	UCVBxVupUwqTLEQ_2oTVzwgQ
19	Inspirit	Julianna Barwick	Healing Is A Miracle	LIKE	4:13	yw1vPy0A930	MPREb_Zz6QSrpfc0w	UCfcrJsde3NHlZEYpFN9FXjA
20	Oh, Memory (feat. Mary Lattimore)	Julianna Barwick	Healing Is A Miracle	LIKE	3:48	itZAoE-fz2k	MPREb_Zz6QSrpfc0w	UCfcrJsde3NHlZEYpFN9FXjA
21	Healing Is A Miracle	Julianna Barwick	Healing Is A Miracle	LIKE	4:11	wQrsrWQMTNM	MPREb_Zz6QSrpfc0w	UCfcrJsde3NHlZEYpFN9FXjA
23	Safe	Julianna Barwick	Healing Is A Miracle	LIKE	5:00	yzD42P4Rawo	MPREb_Zz6QSrpfc0w	UCfcrJsde3NHlZEYpFN9FXjA
26	Nod (feat. Nosaj Thing)	Julianna Barwick	Healing Is A Miracle	LIKE	3:58	q0mv5GBw-nk	MPREb_Zz6QSrpfc0w	UCfcrJsde3NHlZEYpFN9FXjA
579	Before	James Blake	Before	LIKE	4:48	kZu7-VyNxBw	MPREb_G73gk7jwGbf	UCx90L12QXzc18AGYFRof-EA
48	Grounds	IDLES	Ultra Mono	LIKE	3:09	trMc-I5N_rM	MPREb_YU3og6G01pE	UCcbIxwjtSRip9MAYoJ30acw
290	Douha (Mali Mali)	Disclosure	ENERGY (Deluxe)	LIKE	4:55	fZoX4OTCPwU	MPREb_I1LjnuD5A0V	UCMqoUCDT2rtlvBS93GXGqDA
291	Fractal (Interlude)	Disclosure	ENERGY (Deluxe)	LIKE	2:07	8kcLe02r9Ew	MPREb_I1LjnuD5A0V	UCMqoUCDT2rtlvBS93GXGqDA
292	Ce n'est pas	Disclosure	ENERGY (Deluxe)	LIKE	5:55	_0ibVaE6pWk	MPREb_I1LjnuD5A0V	UCMqoUCDT2rtlvBS93GXGqDA
341	Fell Into the Ocean	Dan Deacon	Mystic Familiar	LIKE	4:31	G4TzdWMTdeg	MPREb_e6dcvUEebi8	UCsP4bZFWXJO75ECgoFnbYMA
232	Deadlines (Hostile)	Car Seat Headrest	Making a Door Less Open	LIKE	4:22	MbIHaPEgMHI	MPREb_edEGaXajAOW	UC97xosBrQZ7jdWVFInndIDg
104	Pigeons	Bill Callahan	Gold Record	LIKE	5:26	PSv60b7PWpU	MPREb_a2jt5FJVt5U	UCwvSf_pDY0pvm5mlQEqWkvQ
105	Another Song	Bill Callahan	Gold Record	LIKE	3:16	8EkmWfzeKAk	MPREb_a2jt5FJVt5U	UCwvSf_pDY0pvm5mlQEqWkvQ
108	The Mackenzies	Bill Callahan	Gold Record	LIKE	5:04	hMMEUgts6i0	MPREb_a2jt5FJVt5U	UCwvSf_pDY0pvm5mlQEqWkvQ
136	IN PLACE 그자리 그대로	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	2:21	6EED0tBXcXY	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
138	MONEY CAN'T BUY	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	2:51	TQcMzNCu6t0	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
140	SPELL 주문	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	3:07	d3vae7FwhM4	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
141	WAKING UP DOWN	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	3:22	IQZHWczV1XA	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
142	IN THE MIRROR 거울	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	4:33	nndwh1bSELE	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
143	THE TH1NG	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	4:13	_g0Ql_QP8aI	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
144	THESE DAYS 요즘	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	3:00	9M9qaGtkSAQ	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
145	NEVER SETTLING DOWN	Yaeji	WHAT WE DREW 우리가 그려왔던	INDIFFERENT	4:00	kKtcRRj80Os	MPREb_XBNkp54VKRt	UCohh6h_Kyey44cs1DNRh4Ag
473	Too Late	Washed Out	Purple Noon	INDIFFERENT	4:13	K4_2mEcF1Uk	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
474	Face Up	Washed Out	Purple Noon	INDIFFERENT	4:10	pQAdBmpIRBM	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
475	Time to Walk Away	Washed Out	Purple Noon	INDIFFERENT	4:16	T8Hg7hduR3Y	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
476	Paralyzed	Washed Out	Purple Noon	INDIFFERENT	3:22	1niNsy5dIzE	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
477	Reckless Desires	Washed Out	Purple Noon	INDIFFERENT	4:25	T8xBuBMmRvQ	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
478	Game of Chance	Washed Out	Purple Noon	INDIFFERENT	4:12	h4gKPSrgaV4	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
479	Leave You Behind	Washed Out	Purple Noon	INDIFFERENT	3:53	7c3vJ7jMrQI	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
480	Don't Go	Washed Out	Purple Noon	INDIFFERENT	5:21	a74otoFCfGc	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
481	Hide	Washed Out	Purple Noon	INDIFFERENT	3:28	FW7ZXTEUvoE	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
482	Haunt	Washed Out	Purple Noon	INDIFFERENT	5:11	UaK0btZR0_M	MPREb_1WaPzgXUqSN	UC1rCT_Cy1pP1wnRcEUV3nPA
147	Overtime	U.S. Girls	Heavy Light	INDIFFERENT	2:55	7rsCV-VRI-w	MPREb_9TBeUx4NEeI	UCCd5eooP2h6ZN7gJZ4XxOHw
148	IOU	U.S. Girls	Heavy Light	INDIFFERENT	4:43	FEcBefTRIms	MPREb_9TBeUx4NEeI	UCCd5eooP2h6ZN7gJZ4XxOHw
150	State House (It's a Man's World)	U.S. Girls	Heavy Light	INDIFFERENT	1:44	n9RZfF9IGXs	MPREb_9TBeUx4NEeI	UCCd5eooP2h6ZN7gJZ4XxOHw
151	Born to Lose	U.S. Girls	Heavy Light	INDIFFERENT	3:08	kIPnyz57Veo	MPREb_9TBeUx4NEeI	UCCd5eooP2h6ZN7gJZ4XxOHw
